Date,Price,Open,High,Low,Volume,Change_Pct
2019-04-03,5452.19,5452.19,5452.19,5452.19,0,-1.27
2019-04-04,5459.91,5459.91,5459.91,5459.91,0,0.14
2019-04-07,5433.89,5433.89,5433.89,5433.89,0,-0.48
2019-04-08,5372.23,5372.23,5372.23,5372.23,0,-1.13
2019-04-09,5318.75,5318.75,5318.75,5318.75,0,-1.0
2019-04-10,5261.6,5261.6,5261.6,5261.6,0,-1.07
2019-04-11,5326.39,5326.39,5326.39,5326.39,0,1.23
2019-04-15,5309.47,5309.47,5309.47,5309.47,0,-0.32
2019-04-16,5248.91,5248.91,5248.91,5248.91,0,-1.14
2019-04-17,5259.41,5259.41,5259.41,5259.41,0,0.2
2019-04-18,5321.41,5321.41,5321.41,5321.41,0,1.18
2019-04-21,5323.73,5323.73,5323.73,5323.73,0,0.04
2019-04-23,5260.85,5260.85,5260.85,5260.85,0,-1.18
2019-04-24,5240.36,5240.36,5240.36,5240.36,0,-0.39
2019-04-25,5266.17,5266.17,5266.17,5266.17,0,0.49
2019-04-28,5238.19,5238.19,5238.19,5238.19,0,-0.53
2019-04-29,5175.46,5175.46,5175.46,5175.46,0,-1.2
2019-04-30,5202.85,5202.85,5202.85,5202.85,0,0.53
2019-05-02,5286.75,5286.75,5286.75,5286.75,0,1.61
2019-05-05,5394.9,5394.9,5394.9,5394.9,0,2.05
2019-05-06,5342.08,5342.08,5342.08,5342.08,0,-0.98
2019-05-07,5289.99,5289.99,5289.99,5289.99,0,-0.98
2019-05-08,5272.38,5272.38,5272.38,5272.38,0,-0.33
2019-05-09,5275.83,5275.83,5275.83,5275.83,0,0.07
2019-05-12,5273.92,5273.92,5273.92,5273.92,0,-0.04
2019-05-13,5247.82,5247.82,5247.82,5247.82,0,-0.49
2019-05-14,5217.91,5217.91,5217.91,5217.91,0,-0.57
2019-05-15,5196.03,5196.03,5196.03,5196.03,0,-0.42
2019-05-16,5230.78,5230.78,5230.78,5230.78,0,0.67
2019-05-19,5335.7,5335.7,5335.7,5335.7,0,2.01
2019-05-20,5276.14,5276.14,5276.14,5276.14,0,-1.12
2019-05-21,5236.84,5236.84,5236.84,5236.84,0,-0.74
2019-05-22,5250.94,5250.94,5250.94,5250.94,0,0.27
2019-05-23,5250.59,5250.59,5250.59,5250.59,0,-0.01
2019-05-26,5253.32,5253.32,5253.32,5253.32,0,0.05
2019-05-27,5253.54,5253.54,5253.54,5253.54,0,0.0
2019-05-28,5328.76,5328.76,5328.76,5328.76,0,1.43
2019-05-29,5354.19,5354.19,5354.19,5354.19,0,0.48
2019-05-30,5377.74,5377.74,5377.74,5377.74,0,0.44
2019-06-09,5402.96,5402.96,5402.96,5402.96,0,0.47
2019-06-10,5431.59,5431.59,5431.59,5431.59,0,0.53
2019-06-11,5475.98,5475.98,5475.98,5475.98,0,0.82
2019-06-12,5469.63,5469.63,5469.63,5469.63,0,-0.12
2019-06-13,5474.3,5474.3,5474.3,5474.3,0,0.09
2019-06-16,5430.83,5430.83,5430.83,5430.83,0,-0.79
2019-06-17,5375.29,5375.29,5375.29,5375.29,0,-1.02
2019-06-18,5400.23,5400.23,5400.23,5400.23,0,0.46
2019-06-19,5411.4,5411.4,5411.4,5411.4,0,0.21
2019-06-20,5395.62,5395.62,5395.62,5395.62,0,-0.29
2019-06-23,5383.89,5383.89,5383.89,5383.89,0,-0.22
2019-06-24,5386.87,5386.87,5386.87,5386.87,0,0.06
2019-06-25,5380.96,5380.96,5380.96,5380.96,0,-0.11
2019-06-26,5410.7,5410.7,5410.7,5410.7,0,0.55
2019-06-27,5430.04,5430.04,5430.04,5430.04,0,0.36
2019-06-30,5421.62,5421.62,5421.62,5421.62,0,-0.16
2019-07-02,5384.92,5384.92,5384.92,5384.92,0,-0.68
2019-07-03,5372.21,5372.21,5372.21,5372.21,0,-0.24
2019-07-04,5380.79,5380.79,5380.79,5380.79,0,0.16
2019-07-07,5333.08,5333.08,5333.08,5333.08,0,-0.89
2019-07-08,5318.61,5318.61,5318.61,5318.61,0,-0.27
2019-07-09,5280.04,5280.04,5280.04,5280.04,0,-0.73
2019-07-10,5230.63,5230.63,5230.63,5230.63,0,-0.94
2019-07-11,5222.3,5222.3,5222.3,5222.3,0,-0.16
2019-07-14,5179.49,5179.49,5179.49,5179.49,0,-0.82
2019-07-15,5091.48,5091.48,5091.48,5091.48,0,-1.7
2019-07-16,5124.44,5124.44,5124.44,5124.44,0,0.65
2019-07-17,5133.13,5133.13,5133.13,5133.13,0,0.17
2019-07-18,5130.69,5130.69,5130.69,5130.69,0,-0.05
2019-07-21,5033.74,5033.74,5033.74,5033.74,0,-1.89
2019-07-22,4966.44,4966.44,4966.44,4966.44,0,-1.34
2019-07-23,5077.75,5077.75,5077.75,5077.75,0,2.24
2019-07-24,5077.28,5077.28,5077.28,5077.28,0,-0.01
2019-07-25,5133.25,5133.25,5133.25,5133.25,0,1.1
2019-07-28,5133.93,5133.93,5133.93,5133.93,0,0.01
2019-07-29,5160.74,5160.74,5160.74,5160.74,0,0.52
2019-07-30,5125.02,5125.02,5125.02,5125.02,0,-0.69
2019-07-31,5138.79,5138.79,5138.79,5138.79,0,0.27
2019-08-01,5169.73,5169.73,5169.73,5169.73,0,0.6
2019-08-04,5172.86,5172.86,5172.86,5172.86,0,0.06
2019-08-05,5160.37,5160.37,5160.37,5160.37,0,-0.24
2019-08-06,5187.29,5187.29,5187.29,5187.29,0,0.52
2019-08-07,5187.2,5187.2,5187.2,5187.2,0,0.0
2019-08-08,5201.42,5201.42,5201.42,5201.42,0,0.27
2019-08-18,5216.53,5216.53,5216.53,5216.53,0,0.29
2019-08-19,5227.26,5227.26,5227.26,5227.26,0,0.21
2019-08-20,5227.49,5227.49,5227.49,5227.49,0,0.0
2019-08-21,5223.41,5223.41,5223.41,5223.41,0,-0.08
2019-08-22,5236.85,5236.85,5236.85,5236.85,0,0.26
2019-08-25,5223.72,5223.72,5223.72,5223.72,0,-0.25
2019-08-26,5165.76,5165.76,5165.76,5165.76,0,-1.11
2019-08-27,5178.7,5178.7,5178.7,5178.7,0,0.25
2019-08-28,5139.99,5139.99,5139.99,5139.99,0,-0.75
2019-08-29,5095.77,5095.77,5095.77,5095.77,0,-0.86
2019-09-01,5070.68,5070.68,5070.68,5070.68,0,-0.49
2019-09-02,5033.53,5033.53,5033.53,5033.53,0,-0.73
2019-09-03,5007.05,5007.05,5007.05,5007.05,0,-0.53
2019-09-04,4986.37,4986.37,4986.37,4986.37,0,-0.41
2019-09-05,5013.01,5013.01,5013.01,5013.01,0,0.53
2019-09-08,5033.79,5033.79,5033.79,5033.79,0,0.41
2019-09-09,5008.96,5008.96,5008.96,5008.96,0,-0.49
2019-09-11,4933.17,4933.17,4933.17,4933.17,0,-1.51
2019-09-12,4933.89,4933.89,4933.89,4933.89,0,0.01
2019-09-15,4942.23,4942.23,4942.23,4942.23,0,0.17
2019-09-16,4959.73,4959.73,4959.73,4959.73,0,0.35
